company_size,annual_revenue,industry_sector,fleet_size,vehicle_types,avg_vehicle_age,maintenance_approach,monthly_downtime_incidents,cost_per_downtime,downtime_causes,connected_systems,predictive_maintenance_familiarity,main_adoption_barrier,adoption_likelihood_12mo,budget_pct_predictive,adoption_driver,downtime_reduction_justify,dashboard_features,api_integration_importance,sustainability_tracking_method,annual_co2_savings_target,interest_auto_sustain_analytics,business_priorities,cost_reliability_preference,fleet_performance_measures,interested_in_pilot
201–500,5M–20M,Food & Beverage,25–100,"Trucks,Delivery bikes,Vans,Electric vehicles (EVs)",>10,Reactive,3,2042,Electrical issues,"TMS,None",Currently using,Cost,Unlikely,<10%,Cost savings,21–30%,Maintenance scheduling,Very important,Not tracked,2–5%,High,"Regulatory compliance,Sustainability,Safety","Moderate cost, high reliability","Downtime hours,Delivery delays,Fuel efficiency,Emission metrics",Yes
201–500,5M–20M,Manufacturing,251–500,"Vans,Trucks,Delivery bikes",>10,Predictive,2,594,"Accidents,Tire issues","WMS,None",Heard of it,Complexity,Neutral,26–50%,Regulatory compliance,>30%,"Predictive alerts,Parts availability",Very important,3rd party tool,6–10%,High,"Uptime/reliability,Customer satisfaction,Regulatory compliance","Moderate cost, high reliability","Fuel efficiency,Delivery delays",No
51–200,<1M,Retail/E-commerce,>500,"Forklifts,Electric vehicles (EVs),Trucks,Delivery bikes",2–5,Reactive,1,1104,"Battery/charging (for EVs),Mechanical failure,Accidents","TMS,ERP,WMS",Very familiar,Not a priority,Very unlikely,26–50%,Regulatory compliance,21–30%,"Sustainability/CO₂ reports,Cost–benefit analysis",Slightly important,3rd party tool,2–5%,Low,"Customer satisfaction,Sustainability,Regulatory compliance","Moderate cost, high reliability","Downtime hours,Repair costs,Delivery delays",Yes
501–1000,1M–5M,Other,<25,"Vans,Forklifts,Delivery bikes",>10,Preventive,4,1680,"Accidents,Battery/charging (for EVs),Tire issues",TMS,Somewhat familiar,Not a priority,Neutral,<10%,Competitive advantage,>30%,"Cost–benefit analysis,Real-time health scores,Maintenance scheduling",Very important,Manual spreadsheet,2–5%,Low,"Regulatory compliance,Customer satisfaction,Cost reduction","Lower cost, moderate reliability","Repair costs,Downtime hours,Delivery delays",Yes
201–500,1M–5M,Logistics provider,251–500,Forklifts,6–10,Preventive,4,621,Battery/charging (for EVs),WMS,Very familiar,Data security concerns,Likely,26–50%,Competitive advantage,21–30%,Fuel efficiency analytics,Moderately important,In-house software,6–10%,Medium,"Regulatory compliance,Uptime/reliability,Customer satisfaction","Higher cost, maximum reliability","Delivery delays,Fuel efficiency,Repair costs",No
51–200,1M–5M,Logistics provider,101–250,Trucks,6–10,Predictive,3,338,Accidents,ERP,Very familiar,Data security concerns,Neutral,10–25%,Competitive advantage,10–20%,"Maintenance scheduling,Predictive alerts",Critical,In-house software,<2%,Medium,"Cost reduction,Regulatory compliance,Safety","Higher cost, maximum reliability",Delivery delays,Maybe
>1000,5M–20M,Food & Beverage,>500,Delivery bikes,<2,Preventive,2,1357,"Battery/charging (for EVs),Accidents","None,WMS,TMS",Somewhat familiar,Complexity,Likely,>50%,Regulatory compliance,21–30%,Maintenance scheduling,Not important,3rd party tool,<2%,Medium,"Safety,Cost reduction,Sustainability","Lower cost, moderate reliability","Downtime hours,Delivery delays",Yes
501–1000,5M–20M,Logistics provider,25–100,Forklifts,>10,Preventive,4,862,"Accidents,Tire issues",ERP,Heard of it,Cost,Unlikely,>50%,Sustainability goals,>30%,"Maintenance scheduling,Real-time health scores,Cost–benefit analysis",Moderately important,In-house software,6–10%,Essential,"Cost reduction,Customer satisfaction,Safety","Higher cost, maximum reliability",Fuel efficiency,Yes
>1000,5M–20M,Food & Beverage,251–500,"Vans,Delivery bikes,Electric vehicles (EVs),Trucks",6–10,Predictive,6,384,"Mechanical failure,Electrical issues","ERP,WMS,None",Not familiar,Not a priority,Very likely,<10%,Regulatory compliance,10–20%,Real-time health scores,Very important,3rd party tool,2–5%,Low,"Customer satisfaction,Cost reduction,Uptime/reliability","Moderate cost, high reliability",Repair costs,No
501–1000,20M–100M,Food & Beverage,<25,"Delivery bikes,Vans",6–10,Reactive,3,1815,"Accidents,Electrical issues","None,WMS",Somewhat familiar,Other,Very likely,<10%,Regulatory compliance,>30%,"Maintenance scheduling,Fuel efficiency analytics,Predictive alerts",Slightly important,3rd party tool,>10%,Medium,"Sustainability,Regulatory compliance,Uptime/reliability","Moderate cost, high reliability","Repair costs,Emission metrics,Fuel efficiency",Maybe
201–500,20M–100M,Logistics provider,25–100,"Vans,Electric vehicles (EVs)",6–10,Preventive,2,1282,Accidents,WMS,Currently using,Data security concerns,Very unlikely,10–25%,Cost savings,>30%,"Parts availability,Maintenance scheduling,Cost–benefit analysis",Very important,Manual spreadsheet,<2%,Medium,"Cost reduction,Customer satisfaction,Sustainability","Lower cost, moderate reliability","Delivery delays,Repair costs,Fuel efficiency",Yes
51–200,5M–20M,Food & Beverage,<25,Delivery bikes,6–10,Preventive,5,940,Electrical issues,WMS,Very familiar,Not a priority,Likely,>50%,Competitive advantage,21–30%,"Cost–benefit analysis,Fuel efficiency analytics,Maintenance scheduling",Slightly important,3rd party tool,2–5%,Essential,"Regulatory compliance,Cost reduction,Sustainability","Moderate cost, high reliability","Delivery delays,Emission metrics,Downtime hours",Yes
>1000,>100M,Logistics provider,>500,"Trucks,Electric vehicles (EVs),Delivery bikes",6–10,Predictive,1,718,"Electrical issues,Accidents,Battery/charging (for EVs)",None,Heard of it,Cost,Neutral,>50%,Uptime improvement,21–30%,"Fuel efficiency analytics,Cost–benefit analysis,Sustainability/CO₂ reports",Not important,Manual spreadsheet,2–5%,Medium,"Safety,Uptime/reliability,Cost reduction","Lower cost, moderate reliability","Repair costs,Delivery delays,Downtime hours,Emission metrics",Yes
>1000,<1M,Retail/E-commerce,251–500,"Electric vehicles (EVs),Vans",2–5,Reactive,1,1287,Battery/charging (for EVs),"None,WMS",Very familiar,Lack of internal skills,Neutral,10–25%,Competitive advantage,21–30%,Sustainability/CO₂ reports,Critical,In-house software,2–5%,High,"Customer satisfaction,Sustainability,Uptime/reliability","Moderate cost, high reliability","Downtime hours,Delivery delays,Fuel efficiency,Repair costs",Yes
<50,1M–5M,Manufacturing,251–500,Vans,2–5,Reactive,1,1458,Electrical issues,ERP,Very familiar,Cost,Unlikely,<10%,Sustainability goals,21–30%,"Sustainability/CO₂ reports,Predictive alerts",Moderately important,3rd party tool,>10%,High,"Regulatory compliance,Sustainability,Safety","Moderate cost, high reliability",Downtime hours,Maybe
<50,<1M,Other,>500,"Forklifts,Electric vehicles (EVs),Delivery bikes,Vans",2–5,Reactive,1,1363,Battery/charging (for EVs),"TMS,WMS",Heard of it,Not a priority,Neutral,<10%,Sustainability goals,<10%,Cost–benefit analysis,Slightly important,3rd party tool,2–5%,High,"Uptime/reliability,Safety,Customer satisfaction","Moderate cost, high reliability","Delivery delays,Fuel efficiency,Repair costs,Downtime hours",Yes
51–200,5M–20M,Logistics provider,<25,Forklifts,<2,Reactive,2,441,"Tire issues,Battery/charging (for EVs)","ERP,WMS,TMS",Not familiar,Not a priority,Very likely,26–50%,Competitive advantage,>30%,"Cost–benefit analysis,Predictive alerts",Slightly important,In-house software,2–5%,Low,"Sustainability,Uptime/reliability,Cost reduction","Moderate cost, high reliability","Downtime hours,Repair costs",Maybe
501–1000,20M–100M,Retail/E-commerce,25–100,Delivery bikes,6–10,Predictive,3,1438,"Tire issues,Accidents","TMS,WMS,ERP",Not familiar,Complexity,Unlikely,10–25%,Competitive advantage,21–30%,"Fuel efficiency analytics,Sustainability/CO₂ reports,Cost–benefit analysis",Critical,In-house software,2–5%,Low,"Uptime/reliability,Safety,Cost reduction","Higher cost, maximum reliability","Downtime hours,Repair costs,Emission metrics,Fuel efficiency",No
>1000,1M–5M,Manufacturing,<25,"Electric vehicles (EVs),Trucks",6–10,Preventive,1,1547,Mechanical failure,WMS,Very familiar,Not a priority,Unlikely,10–25%,Regulatory compliance,>30%,Sustainability/CO₂ reports,Very important,In-house software,6–10%,Low,"Safety,Cost reduction,Sustainability","Lower cost, moderate reliability","Emission metrics,Fuel efficiency",No
51–200,20M–100M,Manufacturing,25–100,Trucks,6–10,Preventive,1,1028,Tire issues,"WMS,ERP,TMS",Very familiar,Data security concerns,Unlikely,10–25%,Uptime improvement,21–30%,"Parts availability,Predictive alerts,Fuel efficiency analytics",Critical,Manual spreadsheet,2–5%,None,"Customer satisfaction,Cost reduction,Safety","Higher cost, maximum reliability","Delivery delays,Repair costs,Emission metrics,Downtime hours",Yes
201–500,<1M,Manufacturing,25–100,Vans,2–5,Preventive,2,1720,"Accidents,Battery/charging (for EVs)","WMS,None",Heard of it,Other,Likely,26–50%,Regulatory compliance,21–30%,"Maintenance scheduling,Fuel efficiency analytics,Sustainability/CO₂ reports",Critical,Not tracked,6–10%,Medium,"Uptime/reliability,Sustainability,Customer satisfaction","Moderate cost, high reliability",Repair costs,Maybe
51–200,20M–100M,Logistics provider,25–100,"Vans,Electric vehicles (EVs),Forklifts",2–5,Predictive,3,774,"Tire issues,Accidents",TMS,Heard of it,Complexity,Very likely,26–50%,Cost savings,21–30%,"Predictive alerts,Real-time health scores",Very important,In-house software,6–10%,High,"Sustainability,Safety,Uptime/reliability","Higher cost, maximum reliability",Fuel efficiency,Yes
>1000,1M–5M,Logistics provider,25–100,"Trucks,Delivery bikes,Vans,Forklifts",<2,Reactive,5,1845,"Tire issues,Mechanical failure","None,ERP",Very familiar,Not a priority,Likely,10–25%,Cost savings,>30%,"Fuel efficiency analytics,Sustainability/CO₂ reports,Real-time health scores",Moderately important,Not tracked,<2%,Low,"Safety,Customer satisfaction,Sustainability","Moderate cost, high reliability","Fuel efficiency,Emission metrics",Maybe
501–1000,1M–5M,Logistics provider,<25,Trucks,<2,Preventive,4,1266,Tire issues,WMS,Currently using,Cost,Unlikely,<10%,Sustainability goals,10–20%,"Cost–benefit analysis,Maintenance scheduling",Critical,Not tracked,>10%,Low,"Uptime/reliability,Safety,Sustainability","Higher cost, maximum reliability","Fuel efficiency,Downtime hours,Repair costs,Delivery delays",Maybe
501–1000,5M–20M,Food & Beverage,<25,"Delivery bikes,Trucks,Vans",<2,Preventive,3,952,"Mechanical failure,Accidents","WMS,TMS,None",Very familiar,Not a priority,Neutral,10–25%,Sustainability goals,>30%,Parts availability,Moderately important,In-house software,6–10%,High,"Safety,Regulatory compliance,Cost reduction","Moderate cost, high reliability","Downtime hours,Repair costs",No
201–500,1M–5M,Logistics provider,<25,"Electric vehicles (EVs),Forklifts,Trucks",6–10,Reactive,1,1041,"Mechanical failure,Tire issues","TMS,WMS,None",Somewhat familiar,Cost,Neutral,26–50%,Uptime improvement,21–30%,"Parts availability,Fuel efficiency analytics",Critical,Manual spreadsheet,2–5%,Low,"Regulatory compliance,Customer satisfaction,Sustainability","Moderate cost, high reliability","Fuel efficiency,Repair costs",Yes
51–200,1M–5M,Logistics provider,>500,"Electric vehicles (EVs),Trucks,Forklifts,Delivery bikes",<2,Preventive,2,1700,"Tire issues,Electrical issues","None,WMS,TMS",Heard of it,Cost,Very unlikely,10–25%,Sustainability goals,>30%,"Parts availability,Cost–benefit analysis",Very important,Not tracked,6–10%,Low,"Safety,Uptime/reliability,Sustainability","Moderate cost, high reliability","Fuel efficiency,Emission metrics,Downtime hours",Maybe
51–200,1M–5M,Other,101–250,Forklifts,6–10,Preventive,0,1319,Battery/charging (for EVs),ERP,Somewhat familiar,Not a priority,Neutral,<10%,Cost savings,>30%,"Predictive alerts,Parts availability,Real-time health scores",Very important,Manual spreadsheet,6–10%,Essential,"Sustainability,Regulatory compliance,Safety","Higher cost, maximum reliability","Delivery delays,Repair costs,Emission metrics,Downtime hours",Yes
<50,20M–100M,Logistics provider,>500,"Trucks,Electric vehicles (EVs),Forklifts",2–5,Reactive,2,1523,Accidents,WMS,Heard of it,Cost,Very unlikely,<10%,Uptime improvement,>30%,"Predictive alerts,Cost–benefit analysis",Moderately important,3rd party tool,>10%,None,"Cost reduction,Regulatory compliance,Customer satisfaction","Higher cost, maximum reliability","Repair costs,Fuel efficiency,Delivery delays",Maybe
>1000,5M–20M,Other,25–100,"Vans,Trucks,Forklifts,Delivery bikes",6–10,Reactive,2,1737,Tire issues,"ERP,TMS",Very familiar,Other,Likely,<10%,Cost savings,21–30%,"Real-time health scores,Sustainability/CO₂ reports,Fuel efficiency analytics",Very important,Manual spreadsheet,<2%,Medium,"Customer satisfaction,Safety,Uptime/reliability","Moderate cost, high reliability","Emission metrics,Delivery delays",Yes
501–1000,1M–5M,Manufacturing,25–100,"Electric vehicles (EVs),Trucks",6–10,Predictive,5,937,"Electrical issues,Tire issues,Battery/charging (for EVs)",ERP,Somewhat familiar,Lack of internal skills,Neutral,<10%,Competitive advantage,21–30%,Maintenance scheduling,Very important,In-house software,6–10%,None,"Sustainability,Uptime/reliability,Cost reduction","Lower cost, moderate reliability","Repair costs,Fuel efficiency,Emission metrics",Yes
>1000,5M–20M,Food & Beverage,251–500,Electric vehicles (EVs),>10,Reactive,3,1264,"Electrical issues,Tire issues,Battery/charging (for EVs)","ERP,WMS,None",Very familiar,Complexity,Likely,10–25%,Competitive advantage,>30%,"Sustainability/CO₂ reports,Maintenance scheduling",Moderately important,Manual spreadsheet,<2%,Essential,"Cost reduction,Safety,Regulatory compliance","Higher cost, maximum reliability",Delivery delays,Yes
>1000,5M–20M,Logistics provider,25–100,"Vans,Delivery bikes",6–10,Predictive,2,1088,"Mechanical failure,Battery/charging (for EVs)","ERP,WMS,None",Somewhat familiar,Not a priority,Very likely,10–25%,Uptime improvement,21–30%,"Maintenance scheduling,Cost–benefit analysis,Sustainability/CO₂ reports",Critical,In-house software,<2%,High,"Regulatory compliance,Sustainability,Uptime/reliability","Higher cost, maximum reliability","Emission metrics,Downtime hours,Repair costs",Yes
201–500,1M–5M,Logistics provider,25–100,"Vans,Electric vehicles (EVs),Trucks",>10,Reactive,4,1709,Mechanical failure,"ERP,TMS,None",Very familiar,Lack of internal skills,Very likely,10–25%,Regulatory compliance,21–30%,Predictive alerts,Very important,3rd party tool,6–10%,None,"Sustainability,Safety,Regulatory compliance","Moderate cost, high reliability",Downtime hours,Yes
501–1000,5M–20M,Manufacturing,25–100,"Vans,Trucks,Electric vehicles (EVs)",6–10,Predictive,5,1009,"Mechanical failure,Tire issues","WMS,TMS",Heard of it,Cost,Very unlikely,<10%,Sustainability goals,>30%,Fuel efficiency analytics,Not important,Not tracked,6–10%,High,"Cost reduction,Sustainability,Customer satisfaction","Higher cost, maximum reliability","Repair costs,Delivery delays,Fuel efficiency,Emission metrics",Yes
>1000,1M–5M,Food & Beverage,<25,"Forklifts,Delivery bikes",6–10,Predictive,3,1224,"Electrical issues,Tire issues","TMS,None",Somewhat familiar,Cost,Very likely,<10%,Uptime improvement,21–30%,"Predictive alerts,Fuel efficiency analytics,Sustainability/CO₂ reports",Very important,Manual spreadsheet,6–10%,Low,"Customer satisfaction,Regulatory compliance,Uptime/reliability","Lower cost, moderate reliability",Repair costs,Maybe
501–1000,1M–5M,Manufacturing,25–100,"Delivery bikes,Forklifts",2–5,Predictive,2,2348,"Tire issues,Electrical issues","None,WMS",Somewhat familiar,Complexity,Likely,10–25%,Sustainability goals,21–30%,"Real-time health scores,Predictive alerts",Very important,In-house software,6–10%,Medium,"Cost reduction,Safety,Uptime/reliability","Higher cost, maximum reliability",Fuel efficiency,Maybe
51–200,5M–20M,Logistics provider,25–100,"Trucks,Delivery bikes,Vans,Forklifts",2–5,Predictive,0,1843,"Electrical issues,Tire issues,Accidents","ERP,TMS,WMS",Not familiar,Lack of internal skills,Likely,10–25%,Cost savings,10–20%,"Fuel efficiency analytics,Predictive alerts",Critical,In-house software,6–10%,High,"Safety,Regulatory compliance,Cost reduction","Moderate cost, high reliability","Delivery delays,Fuel efficiency,Downtime hours",Yes
201–500,1M–5M,Manufacturing,101–250,"Electric vehicles (EVs),Forklifts,Trucks,Vans",2–5,Preventive,3,682,"Accidents,Mechanical failure","TMS,None",Currently using,Lack of internal skills,Very unlikely,<10%,Regulatory compliance,10–20%,"Real-time health scores,Predictive alerts",Very important,Manual spreadsheet,>10%,Low,"Safety,Customer satisfaction,Uptime/reliability","Moderate cost, high reliability","Emission metrics,Fuel efficiency,Delivery delays",Yes
<50,5M–20M,Manufacturing,<25,"Delivery bikes,Electric vehicles (EVs),Vans",6–10,Preventive,1,1651,"Tire issues,Electrical issues,Mechanical failure","None,ERP",Somewhat familiar,Not a priority,Unlikely,26–50%,Sustainability goals,>30%,"Predictive alerts,Maintenance scheduling,Sustainability/CO₂ reports",Not important,3rd party tool,2–5%,Medium,"Uptime/reliability,Sustainability,Customer satisfaction","Moderate cost, high reliability","Fuel efficiency,Repair costs,Delivery delays,Downtime hours",Maybe
>1000,5M–20M,Manufacturing,25–100,"Electric vehicles (EVs),Forklifts",2–5,Preventive,6,1544,Battery/charging (for EVs),"TMS,ERP,None",Somewhat familiar,Cost,Very likely,<10%,Competitive advantage,>30%,"Predictive alerts,Maintenance scheduling",Slightly important,3rd party tool,<2%,Medium,"Customer satisfaction,Sustainability,Cost reduction","Moderate cost, high reliability",Delivery delays,Yes
201–500,1M–5M,Manufacturing,251–500,"Forklifts,Electric vehicles (EVs)",6–10,Reactive,4,650,"Tire issues,Electrical issues,Battery/charging (for EVs)","None,WMS",Very familiar,Data security concerns,Unlikely,10–25%,Competitive advantage,<10%,"Predictive alerts,Real-time health scores,Sustainability/CO₂ reports",Slightly important,Manual spreadsheet,6–10%,Essential,"Regulatory compliance,Customer satisfaction,Safety","Moderate cost, high reliability",Fuel efficiency,Maybe
51–200,5M–20M,Food & Beverage,<25,"Electric vehicles (EVs),Vans,Trucks",>10,Reactive,3,1145,Accidents,"WMS,None,TMS",Very familiar,Not a priority,Unlikely,10–25%,Cost savings,>30%,Cost–benefit analysis,Slightly important,Not tracked,2–5%,Essential,"Uptime/reliability,Regulatory compliance,Sustainability","Higher cost, maximum reliability","Emission metrics,Downtime hours,Fuel efficiency",No
201–500,1M–5M,Manufacturing,25–100,Vans,2–5,Predictive,7,726,"Mechanical failure,Electrical issues,Tire issues","WMS,ERP",Somewhat familiar,Not a priority,Neutral,26–50%,Uptime improvement,<10%,Parts availability,Very important,3rd party tool,<2%,High,"Safety,Regulatory compliance,Sustainability","Higher cost, maximum reliability",Delivery delays,No
201–500,>100M,Logistics provider,251–500,Delivery bikes,2–5,Preventive,4,300,"Accidents,Battery/charging (for EVs)",WMS,Currently using,Not a priority,Very likely,10–25%,Sustainability goals,21–30%,Real-time health scores,Moderately important,Manual spreadsheet,6–10%,Essential,"Safety,Sustainability,Uptime/reliability","Moderate cost, high reliability","Emission metrics,Downtime hours",No
51–200,5M–20M,Retail/E-commerce,<25,"Forklifts,Trucks,Delivery bikes",>10,Preventive,3,1127,Battery/charging (for EVs),"WMS,None",Not familiar,Complexity,Neutral,10–25%,Cost savings,<10%,"Parts availability,Maintenance scheduling,Sustainability/CO₂ reports",Moderately important,3rd party tool,2–5%,High,"Uptime/reliability,Safety,Cost reduction","Higher cost, maximum reliability","Fuel efficiency,Downtime hours",No
<50,20M–100M,Logistics provider,<25,"Vans,Delivery bikes",2–5,Predictive,1,947,Accidents,"TMS,WMS,None",Not familiar,Complexity,Very likely,10–25%,Competitive advantage,>30%,Real-time health scores,Very important,In-house software,2–5%,Essential,"Sustainability,Cost reduction,Safety","Moderate cost, high reliability","Repair costs,Delivery delays,Emission metrics,Downtime hours",Yes
201–500,5M–20M,Logistics provider,25–100,"Trucks,Vans,Forklifts",6–10,Preventive,2,650,"Battery/charging (for EVs),Electrical issues,Tire issues","TMS,ERP,None",Somewhat familiar,Not a priority,Neutral,10–25%,Competitive advantage,>30%,"Sustainability/CO₂ reports,Maintenance scheduling",Moderately important,3rd party tool,>10%,Medium,"Safety,Sustainability,Regulatory compliance","Higher cost, maximum reliability","Emission metrics,Downtime hours",Yes
201–500,<1M,Logistics provider,25–100,"Trucks,Forklifts,Vans",2–5,Preventive,1,1195,"Mechanical failure,Tire issues","None,ERP",Somewhat familiar,Other,Unlikely,26–50%,Competitive advantage,21–30%,"Fuel efficiency analytics,Maintenance scheduling,Parts availability",Not important,In-house software,<2%,High,"Sustainability,Uptime/reliability,Regulatory compliance","Higher cost, maximum reliability","Repair costs,Fuel efficiency,Emission metrics,Downtime hours",Yes
501–1000,5M–20M,Logistics provider,101–250,"Forklifts,Electric vehicles (EVs),Delivery bikes",6–10,Predictive,4,300,"Tire issues,Accidents",ERP,Somewhat familiar,Data security concerns,Neutral,<10%,Regulatory compliance,10–20%,"Cost–benefit analysis,Maintenance scheduling,Sustainability/CO₂ reports",Very important,Manual spreadsheet,<2%,Essential,"Regulatory compliance,Cost reduction,Customer satisfaction","Higher cost, maximum reliability","Repair costs,Fuel efficiency,Downtime hours,Emission metrics",No
201–500,>100M,Logistics provider,251–500,Forklifts,2–5,Reactive,2,1221,"Electrical issues,Battery/charging (for EVs),Mechanical failure","ERP,None",Heard of it,Lack of internal skills,Likely,26–50%,Regulatory compliance,21–30%,"Parts availability,Maintenance scheduling",Slightly important,Not tracked,2–5%,Essential,"Sustainability,Uptime/reliability,Customer satisfaction","Lower cost, moderate reliability","Downtime hours,Fuel efficiency,Repair costs",Yes
>1000,5M–20M,Logistics provider,<25,"Forklifts,Vans,Trucks,Electric vehicles (EVs)",6–10,Preventive,1,1208,Accidents,"None,TMS",Somewhat familiar,Lack of internal skills,Neutral,<10%,Competitive advantage,>30%,Fuel efficiency analytics,Very important,3rd party tool,<2%,None,"Safety,Customer satisfaction,Regulatory compliance","Moderate cost, high reliability",Emission metrics,Maybe
201–500,20M–100M,Food & Beverage,101–250,Forklifts,6–10,Predictive,2,1539,"Mechanical failure,Tire issues",None,Very familiar,Cost,Neutral,>50%,Uptime improvement,10–20%,Parts availability,Very important,3rd party tool,2–5%,Low,"Customer satisfaction,Cost reduction,Uptime/reliability","Moderate cost, high reliability",Downtime hours,Yes
201–500,20M–100M,Other,25–100,"Forklifts,Trucks",2–5,Predictive,1,398,Battery/charging (for EVs),"None,WMS",Somewhat familiar,Lack of internal skills,Unlikely,10–25%,Regulatory compliance,21–30%,"Fuel efficiency analytics,Predictive alerts,Real-time health scores",Critical,Manual spreadsheet,2–5%,Essential,"Safety,Sustainability,Uptime/reliability","Moderate cost, high reliability","Repair costs,Emission metrics,Delivery delays",Yes
>1000,1M–5M,Logistics provider,<25,"Vans,Forklifts",2–5,Predictive,3,2270,"Battery/charging (for EVs),Tire issues","None,WMS,ERP",Currently using,Lack of internal skills,Unlikely,26–50%,Sustainability goals,21–30%,Cost–benefit analysis,Not important,3rd party tool,6–10%,High,"Regulatory compliance,Sustainability,Cost reduction","Moderate cost, high reliability","Fuel efficiency,Emission metrics",Yes
51–200,1M–5M,Other,101–250,Electric vehicles (EVs),2–5,Preventive,1,2078,Accidents,"WMS,TMS,ERP",Very familiar,Data security concerns,Likely,10–25%,Regulatory compliance,10–20%,"Parts availability,Cost–benefit analysis",Moderately important,In-house software,6–10%,Essential,"Regulatory compliance,Safety,Customer satisfaction","Higher cost, maximum reliability","Downtime hours,Delivery delays",No
<50,5M–20M,Retail/E-commerce,25–100,Delivery bikes,>10,Predictive,3,813,"Mechanical failure,Electrical issues",ERP,Heard of it,Lack of internal skills,Neutral,<10%,Sustainability goals,<10%,Predictive alerts,Very important,Not tracked,2–5%,High,"Regulatory compliance,Cost reduction,Customer satisfaction","Moderate cost, high reliability",Downtime hours,Maybe
<50,5M–20M,Logistics provider,25–100,"Forklifts,Delivery bikes,Vans,Trucks",6–10,Reactive,3,1930,"Tire issues,Mechanical failure","WMS,TMS,None",Heard of it,Data security concerns,Very unlikely,<10%,Regulatory compliance,21–30%,"Fuel efficiency analytics,Parts availability,Predictive alerts",Moderately important,3rd party tool,<2%,Essential,"Regulatory compliance,Customer satisfaction,Uptime/reliability","Moderate cost, high reliability","Fuel efficiency,Delivery delays,Downtime hours",Maybe
501–1000,20M–100M,Logistics provider,<25,"Electric vehicles (EVs),Vans",2–5,Reactive,1,1629,"Tire issues,Battery/charging (for EVs),Accidents","WMS,None",Heard of it,Complexity,Unlikely,26–50%,Competitive advantage,21–30%,Parts availability,Moderately important,In-house software,2–5%,Medium,"Customer satisfaction,Regulatory compliance,Safety","Lower cost, moderate reliability","Repair costs,Fuel efficiency,Delivery delays,Downtime hours",Maybe
201–500,20M–100M,Retail/E-commerce,25–100,"Electric vehicles (EVs),Forklifts",2–5,Preventive,2,980,"Battery/charging (for EVs),Tire issues",WMS,Very familiar,Data security concerns,Neutral,10–25%,Sustainability goals,>30%,"Maintenance scheduling,Parts availability,Real-time health scores",Not important,Manual spreadsheet,6–10%,Medium,"Regulatory compliance,Safety,Uptime/reliability","Moderate cost, high reliability","Delivery delays,Fuel efficiency,Downtime hours,Repair costs",Maybe
501–1000,1M–5M,Manufacturing,25–100,"Electric vehicles (EVs),Delivery bikes,Vans",2–5,Preventive,3,897,"Electrical issues,Tire issues,Battery/charging (for EVs)",TMS,Not familiar,Complexity,Very likely,10–25%,Uptime improvement,<10%,"Maintenance scheduling,Predictive alerts,Cost–benefit analysis",Very important,Not tracked,<2%,High,"Safety,Uptime/reliability,Cost reduction","Moderate cost, high reliability","Repair costs,Fuel efficiency",Maybe
51–200,1M–5M,Manufacturing,251–500,"Delivery bikes,Forklifts,Electric vehicles (EVs),Vans",6–10,Preventive,6,934,Tire issues,"TMS,WMS,None",Heard of it,Data security concerns,Neutral,<10%,Regulatory compliance,21–30%,"Fuel efficiency analytics,Sustainability/CO₂ reports,Cost–benefit analysis",Critical,3rd party tool,6–10%,Essential,"Customer satisfaction,Uptime/reliability,Regulatory compliance","Lower cost, moderate reliability",Repair costs,Yes
<50,20M–100M,Logistics provider,<25,"Forklifts,Trucks",6–10,Preventive,3,2613,"Battery/charging (for EVs),Electrical issues,Accidents","None,ERP,WMS",Currently using,Not a priority,Very unlikely,>50%,Regulatory compliance,21–30%,"Maintenance scheduling,Fuel efficiency analytics",Critical,Not tracked,2–5%,High,"Uptime/reliability,Regulatory compliance,Customer satisfaction","Lower cost, moderate reliability",Fuel efficiency,Yes
<50,1M–5M,Logistics provider,25–100,"Forklifts,Trucks",2–5,Reactive,5,1880,"Mechanical failure,Tire issues","WMS,None,ERP",Somewhat familiar,Other,Neutral,<10%,Competitive advantage,10–20%,"Real-time health scores,Fuel efficiency analytics,Cost–benefit analysis",Critical,In-house software,>10%,Medium,"Cost reduction,Customer satisfaction,Safety","Moderate cost, high reliability","Repair costs,Downtime hours,Fuel efficiency,Emission metrics",Yes
51–200,20M–100M,Logistics provider,25–100,"Forklifts,Electric vehicles (EVs)",6–10,Preventive,1,1099,"Electrical issues,Battery/charging (for EVs),Accidents","TMS,WMS,ERP",Heard of it,Complexity,Likely,<10%,Sustainability goals,21–30%,"Parts availability,Sustainability/CO₂ reports,Cost–benefit analysis",Not important,3rd party tool,2–5%,High,"Cost reduction,Regulatory compliance,Uptime/reliability","Lower cost, moderate reliability","Downtime hours,Delivery delays,Repair costs",Maybe
201–500,5M–20M,Logistics provider,101–250,"Vans,Forklifts,Electric vehicles (EVs)",6–10,Predictive,2,1142,Electrical issues,None,Heard of it,Complexity,Likely,>50%,Competitive advantage,10–20%,"Sustainability/CO₂ reports,Cost–benefit analysis,Fuel efficiency analytics",Very important,3rd party tool,6–10%,High,"Customer satisfaction,Cost reduction,Regulatory compliance","Lower cost, moderate reliability","Emission metrics,Downtime hours,Repair costs",Yes
